animal_id	WaterLost_CB	OMLost_CB	CO2Lost_CB	Phosphates_CB	Mineral_CB	Phosphates/OM_CB	CO3/Phosphates_CB	WaterLost_MB	OMLost_MB	CO2Lost_MB	Phosphates_MB	Mineral_MB	Phosphates/OM_MB	CO3/Phosphates_MB
1124	9.96658	23.03759	2.78864	64.20718	66.99582	2.78706	6.51478	11.44479	49.78463	2.6891	36.08148	38.77058	0.72475	11.17929
1125	9.78135	22.98685	4.95067	62.28113	67.2318	2.70942	11.92337	10.66549	34.0121	4.63332	50.6891	55.32241	1.49033	13.71099
1126	9.89456	22.95226	5.30606	61.84712	67.15318	2.6946	12.86898	9.73012	56.71653	2.06172	31.49163	33.55335	0.55525	9.82034
1129	10.73384	23.29476	4.33642	61.63497	65.9714	2.64587	10.55348	9.84837	52.17975	3.29332	34.67857	37.97188	0.6646	14.24505
1132	10.11236	22.45432	5.5789	61.85442	67.43332	2.75468	13.5291	10.68498	48.7243	2.84418	37.74653	40.59071	0.7747	11.30242
1135	10.07427	22.69965	4.99855	62.22753	67.22608	2.74134	12.04906	11.30923	43.34279	3.56614	41.78184	45.34798	0.96399	12.80272
1136	10.09034	22.25339	6.15256	61.50372	67.65627	2.76379	15.00533	11.62388	38.30268	3.47806	46.59538	50.07344	1.2165	11.19657
1138	10.47585	21.87519	4.56762	63.08133	67.64895	2.88369	10.86127	10.69664	41.97036	3.77318	43.55982	47.333	1.03787	12.9931
1139	10.18415	22.38023	4.38692	63.04869	67.43561	2.81716	10.43698	9.89004	39.7795	2.58736	47.7431	50.33046	1.20019	8.129
1141	9.37787	23.32036	3.1769	64.12488	67.30177	2.74974	7.43136	9.47813	43.26008	2.52344	44.73835	47.26179	1.03417	8.46068
1142	8.74027	24.26575	3.37344	63.62055	66.99398	2.62183	7.95365	7.43381	67.41344	1.8924	23.26035	25.15275	0.34504	12.20358
1143	10.74507	22.68373	4.22622	62.34498	66.5712	2.74844	10.16815	11.89037	20.75871	5.30736	62.04356	67.35092	2.9888	12.83136
1146	10.55969	22.53417	4.58751	62.31864	66.90614	2.76552	11.04206	10.49965	46.55835	4.26275	38.67925	42.942	0.83077	16.53117
1147	10.49066	22.29917	4.98263	62.22753	67.21016	2.79058	12.01068	10.57261	48.34644	2.97725	38.1037	41.08094	0.78814	11.72031
